 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75
765,3662.038,1560.970,971.764,838.837,1002.386,1143.809,1164.971,687.698,734.465,537.398,565.416,269.536,560.598,602.494,287.297,301.338,526.844,1204.254,1708.117,334.404,229.128,620.831,672.087,410.897,693.866,598.515,1404.356,464.504,397.958,698.171,858.426,998.685,915.819,2027.269,1202.083,1462.238,1467.604,1094.896,719.304,1350.027,1167.346,1060.239,940.067,824.677,720.597,542.255,1095.328,1037.009,444.294,463.266,1357.427,974.969,866.343,816.588,1202.919,1267.651,1547.262,1796.009,1365.342,1531.578,576.099,762.781,1300.473,129.265,585.537,321.418,232.446,82.611,198.421,1014.648,700.598,125.065,813.351,1326.634,478.792
766,3422.981,1717.164,1118.708,828.620,1031.355,1244.007,1351.202,837.849,914.562,497.876,356.390,338.301,522.603,638.200,184.446,453.860,384.563,1247.485,1816.279,361.661,236.805,689.497,603.893,395.984,490.579,566.877,1496.333,345.460,379.747,792.346,723.587,634.369,933.945,1802.912,1380.135,1276.918,1508.582,903.746,577.732,1427.247,1125.752,1145.452,1010.185,1011.938,551.652,701.305,1109.546,1003.918,448.923,466.665,1282.536,1613.302,747.543,638.143,1425.980,1074.158,1310.816,1321.153,1031.717,1397.637,734.742,1053.139,1032.279,289.118,493.610,257.786,231.281,196.369,188.105,1217.838,584.214,203.247,1317.351,828.148,551.490
767,3575.433,1452.157,1081.073,596.326,1372.705,1283.713,1113.837,679.805,780.557,630.540,541.338,268.042,535.799,476.039,244.554,392.706,251.304,1155.231,1803.377,371.787,214.938,581.701,617.307,370.730,555.719,583.234,1660.356,458.394,213.410,948.877,781.935,950.892,739.047,2105.743,1299.541,1722.746,1195.890,885.922,520.402,1589.493,1238.039,1243.955,1022.474,854.823,829.740,562.908,1521.302,1259.118,333.636,327.120,968.428,1148.140,849.514,1063.134,1365.141,997.678,1580.837,1780.072,1398.050,1511.570,726.788,926.445,1059.674,129.110,532.625,189.945,256.381,229.490,259.195,1079.000,595.581,143.000,1291.808,991.673,360.365
768,3309.548,1354.642,983.837,798.163,1228.428,1136.978,1498.837,802.742,641.832,794.681,482.292,254.012,571.138,563.967,162.486,456.022,488.956,1065.077,1612.916,301.483,228.205,610.731,465.760,296.675,487.287,616.836,1203.402,410.489,325.325,953.280,881.800,1052.054,898.118,1941.696,1279.519,1354.180,1500.780,924.788,799.839,1475.847,1030.765,1237.032,1326.526,833.046,759.994,488.681,804.260,1007.800,584.608,538.253,1490.659,1296.876,1062.043,1018.824,1326.182,929.086,1125.099,1631.568,1188.142,1292.252,672.591,1045.664,925.054,280.103,441.191,187.085,420.612,156.280,139.779,923.362,616.598,298.390,1246.181,1042.376,414.875
769,3496.612,1486.933,909.337,950.310,1156.542,1264.993,1055.577,692.994,823.038,483.487,431.682,245.958,514.420,535.067,261.932,401.221,358.570,1294.300,1402.987,404.817,271.041,584.522,819.367,175.460,739.622,416.310,1790.126,222.737,350.560,928.976,977.819,956.351,984.937,1968.082,1371.955,1842.607,1501.396,1043.948,526.661,1451.380,1222.922,986.652,1046.237,774.792,684.265,540.184,1144.126,903.664,413.790,517.240,1304.942,1240.372,1066.886,1155.403,1352.232,1186.961,1427.730,1662.658,1371.300,1489.267,522.008,1421.752,1477.411,302.588,581.007,178.562,242.237,138.981,138.353,1197.352,589.521,203.584,1360.372,1023.594,348.000
770,3657.701,1794.313,955.753,913.930,1221.000,1349.096,1486.250,692.145,819.216,574.425,470.916,248.434,419.184,474.733,81.514,306.132,462.259,1242.023,1742.506,347.452,184.974,812.164,517.840,311.524,630.701,500.749,1537.000,358.204,312.711,735.891,840.271,652.883,849.213,1738.357,1576.632,1376.074,1642.901,872.161,533.830,1618.733,1150.582,1174.942,1156.111,1026.585,551.934,656.191,1093.916,1258.545,532.273,476.759,1286.130,1323.961,844.614,1107.647,1079.576,1315.513,1489.759,1896.748,1452.133,1671.481,586.621,924.109,1165.202,177.765,677.199,187.995,201.813,153.134,112.700,851.962,724.350,213.208,1468.362,663.247,276.042
771,3647.484,1655.918,1099.298,667.070,929.331,1370.890,1425.058,686.629,790.097,676.504,503.104,324.392,546.638,580.072,256.162,426.316,593.681,1113.231,1759.214,368.939,215.323,626.443,591.287,266.722,705.372,615.123,1246.931,545.102,286.512,797.848,822.581,605.784,882.173,1969.135,1545.459,1655.951,1494.934,781.710,600.366,1167.693,969.719,1002.613,1023.141,833.208,699.138,724.248,1063.698,999.164,557.811,479.310,1424.130,1273.977,751.229,821.790,1264.717,1339.750,1265.106,1322.613,1005.958,1504.341,666.659,1181.891,1292.736,221.301,519.669,231.448,217.122,176.745,144.779,974.581,515.966,268.623,915.160,888.753,363.250
772,3527.490,1695.328,1098.556,677.930,965.627,1230.140,1299.202,777.704,747.724,697.035,382.325,158.307,452.759,501.844,363.405,267.669,593.689,1074.038,1893.422,310.443,255.672,705.308,652.020,330.564,673.427,440.977,1469.776,481.007,395.482,945.991,1026.948,853.090,748.433,1707.795,1110.323,1838.385,1627.275,1042.969,642.714,1230.720,1056.791,1197.716,1072.326,1210.354,760.989,881.092,1257.975,1096.764,494.874,572.082,1238.225,1310.481,773.207,1009.807,1233.556,1208.895,1264.241,1566.297,1102.167,1438.104,660.106,1147.270,802.752,272.515,677.794,202.527,247.590,249.076,162.405,1115.629,718.350,110.610,1457.745,1111.455,477.125
773,3341.325,1833.187,916.101,963.171,1177.331,1300.360,1095.433,945.006,940.897,589.664,525.474,245.651,522.057,497.400,195.865,363.654,349.541,1383.908,1738.708,249.526,288.595,494.642,574.693,289.357,554.140,384.614,1288.523,353.927,325.759,893.768,1107.871,761.541,886.913,1857.240,1409.684,1500.492,1498.604,1025.731,517.312,1512.353,1054.556,1072.058,1076.052,1157.062,1128.348,563.348,1120.454,812.900,435.776,491.424,1096.326,1171.155,929.593,1047.403,1413.869,1150.928,1403.645,1576.748,1490.417,1212.000,539.235,1130.927,1159.054,249.507,529.456,171.338,210.094,200.701,157.232,1693.410,717.094,150.455,1358.766,936.683,285.938
774,3715.076,1688.530,1014.022,725.527,1183.446,1184.132,1011.981,916.440,944.389,697.805,338.312,244.337,341.724,428.317,194.730,361.022,265.526,1281.531,1794.526,338.561,217.426,572.194,585.573,173.484,381.439,486.556,1544.879,508.248,425.813,805.957,979.303,675.784,937.740,2078.649,1376.083,1688.902,1833.231,969.886,476.223,1561.333,1289.405,1145.000,1220.444,1146.000,661.945,702.617,1092.395,1005.809,558.881,439.576,1203.384,1541.930,939.779,958.983,1385.960,1082.809,1413.475,1689.027,1065.950,1489.407,612.265,1259.701,1231.442,212.265,623.993,224.816,158.209,210.624,188.721,1542.762,654.111,247.922,1326.702,778.535,278.552
