 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
223,212.155,174.085,203.663,265.080,328.522,464.533,448.991,318.667,412.662,278.826,193.053,280.713,245.275,542.412,259.120,599.748,446.672,840.712,336.873,313.449,743.468,832.772,329.758,642.913,453.076,2049.589,833.925,1965.826,1770.391,2619.679,5584.126,910.535,1089.217,789.022,1403.924,2951.361,2491.600,1469.519,1459.319,2013.595,2333.591,1820.934,1699.198,475.018,522.643,528.291,928.582,1320.540,1846.155,1158.916,1124.561,1348.186,2205.020,629.486,626.403,487.527,558.017,555.323,658.359,369.442,160.993,537.583,386.535,1482.247,824.412,384.519,2432.892
224,206.866,198.388,342.533,225.400,266.611,349.567,394.500,367.114,413.127,364.697,303.851,297.109,490.714,397.535,346.420,389.291,551.260,876.792,296.809,292.833,517.312,736.465,425.719,332.016,456.985,2266.810,1006.217,1694.893,1803.857,2541.674,5353.793,798.426,647.518,1177.000,1098.924,2683.370,2388.292,1841.463,1361.496,2291.496,2570.979,1739.421,1607.792,365.373,589.955,474.012,1039.827,1606.747,2030.495,995.075,836.051,1380.984,1950.459,664.632,616.535,399.071,582.280,561.646,718.523,680.186,173.649,171.583,429.667,1589.519,670.756,500.722,2328.245
225,168.216,302.744,276.212,419.200,287.212,405.400,336.038,182.079,410.627,262.712,280.479,327.651,444.813,701.018,216.730,453.553,435.748,934.080,358.909,280.423,475.035,761.772,425.859,727.460,263.046,1862.386,751.117,1733.933,1564.171,2743.595,5153.342,1072.931,955.096,947.215,1321.136,3360.241,2698.267,1859.407,1403.115,1979.081,1597.935,1202.118,1519.188,514.254,534.589,402.352,1105.109,1277.940,1723.619,943.963,1076.929,1936.054,1923.554,610.681,679.543,584.518,527.890,547.323,543.118,636.337,262.297,247.312,510.132,1316.704,716.420,384.987,2387.098
226,88.598,254.457,296.272,317.072,320.673,390.789,288.538,287.211,225.690,245.773,285.245,305.845,372.396,517.719,287.710,469.748,303.832,928.416,439.509,169.064,490.873,690.965,394.531,575.508,542.420,2023.019,944.617,1511.483,1826.795,2829.626,5465.820,1042.990,952.602,1192.052,1152.311,3290.324,2449.200,2276.213,1597.354,2288.496,1893.118,1025.605,1603.931,559.296,363.464,417.448,790.755,1111.873,1821.083,1076.411,1109.306,1996.163,2211.899,606.611,813.798,327.062,551.661,676.777,482.091,558.628,161.939,586.167,363.736,1914.741,606.420,720.696,2562.971
227,152.711,202.636,239.603,234.768,307.363,388.733,286.651,363.956,404.359,216.705,234.670,280.698,424.527,495.035,363.680,741.563,392.061,786.344,248.664,290.654,459.671,791.404,527.914,826.571,350.130,2329.165,1083.758,1896.584,1555.714,2359.142,5349.883,962.614,531.843,1011.126,1111.083,3189.602,2474.950,1671.657,1693.770,1468.423,2476.505,1097.026,1603.396,448.337,640.893,599.248,831.300,1504.213,1771.917,1051.785,1186.367,1799.938,1975.764,642.535,664.589,527.027,526.864,685.123,522.183,565.221,230.595,435.938,507.431,1712.457,573.832,626.734,2101.441
228,170.845,305.186,288.179,406.328,141.885,243.467,539.302,281.842,337.239,277.674,193.021,261.744,279.264,487.184,242.470,552.398,534.863,816.616,176.564,283.372,465.913,724.816,508.156,557.032,454.282,2447.146,846.792,1736.960,1780.105,2564.184,5318.063,767.000,802.229,1056.867,1436.833,3068.657,2756.300,1647.315,1389.540,2298.883,2498.269,1252.237,1228.980,496.970,629.562,616.139,1072.309,1235.200,1963.969,888.178,926.888,1668.426,2055.973,700.715,787.605,666.214,396.653,585.554,645.909,395.977,143.027,592.708,503.007,1336.173,1000.817,634.873,2291.794
229,283.031,232.147,317.016,370.616,401.779,221.922,328.264,361.693,348.169,185.061,342.404,222.837,391.055,632.702,403.580,405.825,399.069,896.480,353.673,291.128,580.769,860.877,373.648,500.079,438.664,1610.760,896.158,1681.416,1872.452,2680.663,5282.892,965.129,546.952,1044.748,1437.258,3248.167,2526.858,1892.241,1248.602,2054.946,2203.925,1440.066,1768.257,400.136,624.938,590.188,949.218,1278.007,1681.825,1110.869,1092.204,1693.667,1959.459,569.917,550.829,546.884,548.263,690.615,550.778,304.163,186.405,192.375,489.722,1451.519,744.756,685.873,2232.529
230,247.825,313.643,352.348,560.512,273.496,446.544,483.887,251.237,402.218,152.735,125.532,314.597,469.769,423.711,333.110,543.456,468.344,899.200,456.636,392.885,556.838,959.289,561.188,591.381,462.603,2147.703,870.167,1843.846,1682.791,2323.142,5536.658,979.931,893.542,1322.067,1018.265,3476.398,2561.417,2007.639,1071.593,1946.279,2382.269,1068.237,2009.604,514.870,216.402,674.194,1054.691,1446.433,1874.124,1079.897,1314.388,1795.674,2300.547,553.451,586.922,406.607,473.907,920.600,765.987,631.942,106.101,392.208,487.083,1678.617,574.679,489.570,2368.480
231,262.155,220.698,374.152,343.368,237.593,258.833,412.236,396.175,309.641,233.053,172.585,273.736,349.000,512.649,303.670,676.621,439.458,895.864,348.809,222.910,529.757,828.553,535.805,467.159,520.496,1951.196,893.967,1748.866,1731.752,2799.563,5252.766,839.703,663.024,1004.518,1365.924,3540.037,2729.275,1789.546,1380.557,2268.541,2683.946,1364.987,2277.693,616.657,389.571,693.091,1110.745,1133.867,1733.237,934.056,1162.959,1961.271,1834.568,605.896,821.488,450.125,753.610,487.123,592.810,611.035,198.743,365.083,667.312,2050.124,723.580,715.405,2356.167
232,195.351,233.876,354.087,301.144,265.504,438.067,299.802,268.298,341.042,206.886,257.745,304.481,508.571,366.114,257.410,449.553,342.015,801.712,388.345,313.718,549.607,722.088,448.078,811.802,528.252,2105.595,909.700,1895.114,1907.095,2453.668,4923.964,999.416,583.024,1254.859,1012.477,3354.130,2908.125,1999.880,1307.159,2071.847,2374.570,1741.289,1456.515,372.574,469.911,539.885,1016.045,1117.487,1852.402,1115.467,1315.204,1536.496,2144.649,546.062,605.047,466.670,616.856,513.085,467.078,536.233,158.595,366.021,484.868,1871.173,601.939,437.975,2346.412
233,135.660,266.093,362.022,267.496,321.159,406.378,266.019,350.570,401.282,185.682,387.213,325.357,331.396,462.728,168.510,532.330,561.557,787.864,415.445,167.910,446.405,657.991,342.031,598.524,606.565,1957.139,878.267,1686.570,1870.481,2565.305,5469.703,719.386,589.325,1038.622,1079.841,3114.824,2288.450,1957.917,1293.053,2115.288,2466.677,1694.947,1471.119,493.598,437.330,467.861,947.364,1322.147,1515.701,999.935,1027.184,1711.628,1972.541,701.993,618.543,447.277,635.008,713.677,479.157,485.267,255.439,369.542,416.188,1746.099,649.588,470.544,2504.892
234,158.052,181.140,280.853,466.320,157.407,377.722,394.245,250.974,371.345,285.068,324.234,295.349,364.527,406.579,240.380,731.524,522.542,747.688,227.027,399.551,444.237,715.825,657.086,531.389,435.809,2629.013,980.783,2106.456,2138.786,2638.868,5288.973,692.356,659.434,1036.881,1229.599,2885.972,2333.700,1890.009,1422.965,1874.396,2593.828,1271.039,1527.059,445.166,332.295,632.206,1242.064,1264.913,1705.103,1100.467,1105.837,1520.643,2244.581,691.792,697.853,543.705,638.644,630.700,615.673,419.477,222.568,517.833,381.083,1402.136,934.794,623.684,2487.461
235,186.278,379.643,269.582,295.824,337.947,293.711,482.604,348.667,243.775,379.197,230.787,329.124,426.813,555.719,222.780,525.301,578.443,850.856,303.991,298.987,711.988,867.281,475.891,430.119,438.374,2117.158,900.575,1668.188,1777.138,2545.763,5622.180,1247.000,560.241,991.274,1003.326,3497.074,2462.975,2025.519,1539.938,2127.802,2240.570,1268.289,1746.287,467.154,560.768,500.588,1042.591,1259.447,1914.773,1259.047,695.633,2119.225,1963.932,697.951,620.054,463.098,503.144,530.585,477.255,669.349,169.507,586.938,395.472,1347.852,505.237,346.127,2342.196
236,235.948,233.109,279.478,427.312,322.336,461.333,395.858,225.325,204.697,182.561,241.968,360.023,291.033,574.246,372.870,348.631,636.588,511.160,418.836,226.923,453.474,720.237,477.125,431.746,441.489,2227.171,751.233,2085.114,1920.157,2578.884,5574.117,692.871,697.831,990.726,1128.591,3160.287,2802.900,1676.250,1719.398,1999.270,1998.043,1479.132,1801.416,511.314,590.455,485.412,1141.409,1282.493,1895.175,1131.972,1099.888,1833.721,1785.453,656.076,583.946,423.973,497.169,453.431,665.542,429.535,177.892,551.458,404.243,1717.988,662.137,404.608,2387.284
237,223.897,211.822,349.571,325.152,194.363,278.389,218.519,236.307,387.134,308.402,208.936,327.853,440.615,424.395,260.830,587.146,571.504,611.008,533.982,222.500,652.249,920.096,392.508,798.643,470.420,1851.152,687.300,1875.557,1875.229,2622.521,5270.793,951.376,745.867,1280.163,1330.447,3149.287,2653.675,2143.602,1438.717,1947.829,2330.333,1171.553,1764.109,432.243,410.616,448.594,1061.409,1270.227,1944.959,805.318,1300.235,1769.736,2187.743,506.660,846.946,494.304,662.720,480.246,439.333,572.802,236.838,345.729,439.104,1403.568,627.076,628.291,2399.765
238,252.691,229.628,285.348,351.856,211.673,320.878,388.057,343.158,374.711,281.674,222.883,276.651,435.385,480.228,181.240,394.107,620.481,1176.400,537.009,219.744,697.133,662.175,454.266,395.167,344.168,2130.595,921.283,1919.745,1927.005,2833.226,5554.243,739.475,804.627,1236.318,1204.826,3188.009,2425.708,2144.556,1577.354,1891.982,2540.247,1506.474,2403.228,465.325,529.768,495.055,1095.455,1160.827,1995.124,1064.168,925.663,2151.636,2103.216,558.799,646.868,521.920,735.568,572.546,655.222,488.407,261.338,370.646,726.139,1172.284,530.061,447.430,1993.971
239,153.794,335.178,334.418,324.712,391.496,229.333,350.962,346.816,443.338,172.492,184.543,321.310,322.956,437.614,258.180,543.641,382.641,877.360,441.582,324.205,557.347,714.035,518.922,583.429,518.076,2437.956,1089.492,1595.517,1564.795,2711.037,5492.081,651.663,698.711,972.578,1115.985,3184.426,2242.108,2302.454,1299.982,1624.739,2178.688,1383.697,2014.257,490.503,349.759,617.012,758.255,1413.920,1657.227,891.430,1224.602,1561.891,2139.662,435.062,599.326,385.634,515.119,549.062,535.261,614.965,168.331,511.667,419.722,1798.765,902.282,492.392,2520.127
240,255.577,302.519,396.902,241.552,137.628,294.300,420.840,303.886,255.937,177.902,265.734,360.636,526.440,490.509,321.930,485.738,361.244,811.200,379.173,283.103,615.382,814.763,426.430,510.619,594.603,2077.405,818.033,2090.201,1759.657,2688.816,5384.883,791.832,753.892,1114.593,1189.614,3075.713,2413.208,1681.509,1430.478,2127.063,2803.258,1243.447,1517.713,568.124,499.946,343.521,846.691,1139.893,1863.650,1207.720,724.163,1515.597,2054.250,516.083,767.558,313.741,641.983,546.046,685.235,489.453,252.095,477.333,541.667,1577.037,678.282,293.494,2264.206
241,178.134,223.775,394.054,362.120,268.274,368.800,332.953,312.825,271.824,311.803,186.149,258.140,390.736,567.096,349.190,546.641,504.183,773.032,233.100,444.808,425.289,534.544,514.477,525.635,377.534,2105.361,981.725,1890.174,1899.171,2528.147,5610.261,804.772,787.639,1098.022,1351.492,2859.111,2223.783,1862.426,962.106,1528.315,2721.269,1324.355,1481.248,499.822,462.080,475.879,1212.036,922.327,1663.309,784.271,1097.612,1695.922,2120.649,437.389,617.287,343.705,680.195,559.392,557.229,482.116,223.838,333.500,480.326,1704.815,565.611,255.772,2490.078
242,170.969,250.504,187.065,358.328,252.089,246.511,477.377,302.693,222.958,275.568,258.468,328.860,384.879,570.018,312.340,405.068,525.802,726.872,315.282,376.372,604.249,898.167,477.102,544.556,564.489,2087.740,1099.200,1812.497,2061.471,2509.047,5403.793,1013.139,769.494,1114.259,1082.705,2980.343,2554.542,1659.259,1294.557,1881.333,2148.581,1296.079,1615.119,429.917,462.562,344.552,1102.373,1199.873,1715.268,683.972,881.306,2071.078,2010.095,719.938,692.147,448.571,398.212,532.792,545.869,393.279,168.270,434.562,342.993,1701.914,796.679,563.354,2328.333
243,249.062,249.287,158.891,258.600,344.770,331.678,346.443,254.149,265.951,352.273,150.128,251.264,710.044,460.570,277.240,498.107,436.298,753.152,356.991,267.397,399.780,775.167,566.797,516.690,591.008,2195.532,828.917,1888.081,1951.514,2327.363,5737.486,1008.337,753.157,1152.652,957.114,3138.685,2699.083,1782.565,1532.363,2243.406,2361.452,1306.684,1688.228,589.917,542.821,554.188,787.709,1098.253,1838.516,895.617,1255.071,1890.977,1883.527,597.556,644.620,572.089,676.890,603.008,488.856,359.767,253.203,353.042,451.597,1805.407,706.557,462.494,2342.255
