 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90
1478,1420.586,1636.888,586.567,772.403,2221.771,2105.882,2010.702,1154.918,1674.676,1578.221,905.201,746.416,1094.580,1658.639,879.149,924.265,725.689,847.808,1216.208,1473.913,948.318,1306.060,1138.060,1289.270,1602.488,2292.947,1291.741,664.606,1068.759,1188.365,1350.961,1680.207,991.543,1611.667,1210.414,1067.713,3360.242,795.041,687.688,1700.333,1687.830,1085.716,819.393,1123.092,770.122,906.965,1234.227,1490.100,565.371,702.304,1124.159,1502.411,766.264,937.092,830.101,1447.086,998.397,2097.072,1298.017,1195.452,662.114,868.372,2025.674,1353.147,1570.654,766.955,672.079,479.968,494.568,980.038,824.436,721.753,1029.213,967.277,659.292,1463.044,459.125,673.240,1226.505,589.511,637.810,835.739,1605.038,1568.374,1410.202,1371.935,1046.609,1994.316,1441.943,698.929
1479,1708.076,1541.933,641.326,722.628,2169.596,2043.427,2104.356,1139.270,1837.541,1413.186,767.026,709.753,1351.132,1384.228,803.541,1153.647,796.422,779.738,1105.896,1413.817,1078.528,1407.393,1113.133,1122.627,1743.110,2323.556,1503.247,663.314,1030.675,1170.052,1239.174,1972.739,830.874,1438.269,1419.617,940.975,3359.154,808.643,619.982,1884.180,1624.915,1006.723,991.178,1285.815,850.845,644.993,1242.538,1277.736,550.273,807.532,1268.319,1112.132,907.964,1037.748,725.364,1198.421,1184.021,2048.550,1054.675,1045.074,851.068,885.701,2402.287,1385.684,1477.154,862.358,687.935,652.828,609.626,1063.714,865.393,522.792,870.617,827.198,514.719,1299.297,354.188,570.342,1214.158,573.270,567.276,983.631,1425.240,1180.096,1258.905,1125.195,977.880,2192.959,1267.340,819.496
1480,1646.586,1927.552,687.107,808.217,2328.404,1867.809,2175.760,1387.868,1740.076,1683.150,781.312,862.006,1162.868,1557.706,740.351,1174.860,869.437,917.038,1110.545,1377.083,975.749,1567.507,1112.320,1137.270,1403.738,2197.164,1305.713,681.051,1014.940,1169.763,1262.219,1906.306,989.165,1472.509,1168.233,991.369,3281.494,840.596,671.420,1601.800,1354.007,895.471,900.119,1157.531,892.459,727.596,1208.958,1299.991,635.930,927.032,1138.768,1646.016,814.921,811.916,1217.717,1254.789,1044.106,2114.072,1205.667,989.859,894.341,989.372,2004.457,1337.272,1762.868,886.701,711.043,489.223,617.842,874.019,668.316,358.727,1049.500,859.238,689.208,1697.912,404.368,668.685,1281.042,597.333,558.724,909.369,1444.633,1022.614,1438.702,1474.234,1161.293,1753.929,1282.632,756.327
1481,1354.452,1743.522,726.753,798.442,2326.012,2014.140,2186.586,1168.440,1731.135,1643.566,868.390,814.687,1120.511,1539.611,823.568,1248.640,872.133,852.423,1159.578,1459.804,1086.431,1333.015,1140.507,976.397,1713.628,1956.889,1405.787,681.007,941.542,1258.554,1198.671,1638.595,806.913,1626.164,1359.105,882.820,3288.802,914.414,575.848,1693.873,1611.725,1108.368,820.348,1307.569,797.972,751.638,1013.134,1389.091,603.986,794.804,1190.899,1225.519,818.971,986.824,853.879,1265.053,1116.518,2052.478,1146.308,923.933,718.621,866.226,2214.752,1336.081,1536.316,735.194,627.669,620.153,637.068,996.752,833.239,468.130,890.149,1046.505,651.281,1432.396,388.944,502.610,1273.474,452.553,554.990,701.279,1496.734,1588.578,1246.393,1145.818,1183.076,1801.694,1250.349,892.345
1482,1532.815,1712.716,711.860,721.690,2291.422,2001.927,2025.087,1137.421,1467.941,1729.584,884.019,777.139,1044.420,1643.150,909.243,1181.890,711.044,804.423,1110.552,1451.578,892.333,1588.060,1186.667,1220.952,1771.988,2127.462,1532.121,640.854,906.090,1294.981,1387.729,1699.892,924.756,1594.211,1135.368,973.074,3377.363,811.736,543.223,1644.647,1620.954,828.452,873.022,1584.385,931.475,693.206,1113.781,1259.845,869.252,729.177,1229.442,1632.302,827.636,1102.798,1104.374,1085.763,1123.482,2101.216,1124.467,1101.763,741.962,956.453,1827.829,1393.434,1704.618,654.721,765.511,508.025,549.642,796.171,792.162,634.195,1125.904,1022.713,713.396,1554.165,446.389,563.685,1100.674,550.199,664.048,922.162,1277.127,1568.313,1371.679,1093.052,1263.587,1834.296,1292.283,844.443
1483,1461.892,1469.687,703.348,672.178,2233.639,2477.956,2114.346,1212.270,1509.022,1928.513,764.338,728.193,1323.167,1616.578,819.635,1090.007,643.133,755.185,1142.455,1424.196,1114.677,1469.463,1039.427,934.571,1555.171,2000.643,1498.759,624.058,952.169,983.052,1290.561,1834.414,836.898,1758.526,1577.045,950.246,3357.154,784.969,409.866,1692.967,1661.961,1093.832,801.259,1233.423,820.713,586.943,998.513,1122.109,739.706,892.639,1201.196,1377.620,756.171,818.655,937.354,1223.967,1013.184,2149.522,1173.200,881.867,783.803,957.774,2105.039,1212.235,1580.184,640.736,590.525,544.949,512.847,714.952,734.991,639.675,973.266,1058.010,586.479,1699.044,520.764,516.212,1207.789,485.284,519.819,622.198,1480.785,1547.410,1192.655,1259.844,1090.283,1924.673,1575.877,664.496
1484,1291.267,1853.157,684.337,621.713,2261.807,1945.698,2150.442,1385.289,1494.103,1949.867,780.188,822.181,1170.362,1410.244,790.513,1049.500,715.037,728.815,1329.071,1391.804,978.169,1485.557,1124.793,1109.294,1590.768,2137.643,1421.764,685.044,1037.139,1201.720,1301.381,1826.243,958.150,1524.269,1235.729,997.098,3623.450,718.352,763.188,1845.693,1676.778,925.219,1016.163,1276.562,785.718,786.730,1192.437,1284.473,529.336,852.114,1333.109,1418.729,874.193,941.067,1022.212,1264.809,801.574,1736.495,1247.250,1020.170,861.500,1061.920,2053.736,1495.515,1599.698,659.547,885.705,715.108,640.137,722.800,675.120,488.961,1047.308,1051.366,577.760,1564.780,429.188,548.164,1184.200,568.745,454.276,658.234,1286.519,1553.133,1415.690,1213.169,1168.098,2187.939,1366.906,985.513
1485,1284.306,1832.739,731.753,771.171,2206.994,1866.243,2167.039,1132.006,1649.124,1673.372,865.883,881.072,1178.328,1488.178,796.987,1117.000,742.170,726.569,1280.429,1472.700,1078.103,1435.647,985.120,1179.460,1452.104,2178.824,1422.828,536.964,1106.072,1038.886,1360.419,1711.297,1126.827,1388.392,1143.023,924.385,3695.220,734.979,591.286,1854.020,1473.235,1077.477,897.681,1251.685,677.110,627.191,976.933,1442.382,698.399,762.943,1055.261,1327.977,831.807,1196.227,1048.141,1025.382,1144.858,2210.586,1317.742,746.644,704.939,901.051,1868.899,1332.647,1614.978,768.323,831.576,599.662,656.921,948.114,900.325,323.169,1179.415,1000.238,684.052,1565.615,307.104,562.767,1135.379,473.213,454.790,757.315,1689.089,1459.181,1176.071,1532.442,1444.685,2248.021,1385.123,862.451
1486,1317.917,1708.716,677.185,786.295,2315.596,1914.677,1845.740,1336.409,1766.503,1569.168,706.435,751.217,1095.443,1726.539,646.027,1058.596,602.867,868.400,1126.864,1432.661,947.005,1499.403,1053.893,1004.984,1531.567,2204.456,1355.730,694.569,936.590,1234.654,1493.381,1683.297,1065.677,1561.795,1256.436,892.172,3430.956,793.280,669.330,1880.153,1784.320,895.994,957.222,1399.554,829.696,725.447,1144.714,1191.345,632.867,841.373,1092.899,1576.620,822.629,813.000,946.333,1010.914,1247.532,1993.622,1245.033,1030.733,685.174,976.146,1955.682,1227.456,1333.441,731.428,744.022,643.280,546.737,967.914,996.154,506.143,1177.000,1032.257,542.531,1342.527,421.340,575.678,1131.610,461.993,588.943,857.991,1819.304,1543.024,1627.345,1417.818,1020.620,1847.010,1300.500,801.850
1487,1365.242,1482.231,742.961,741.992,2330.115,1810.515,1856.904,1257.006,1849.589,1634.212,794.422,682.151,1136.529,1619.300,774.203,1183.823,833.681,811.885,1188.857,1355.674,1037.226,1369.279,1059.707,1161.682,1750.677,2240.661,1524.891,482.971,982.789,1035.881,1156.181,1703.982,962.213,1649.521,1329.692,1040.008,3495.165,897.394,547.723,1935.487,1678.843,915.284,926.311,1227.092,736.083,621.809,1100.042,1194.745,486.028,843.228,1254.283,1402.581,960.429,874.681,968.768,1159.092,1142.475,2545.406,1062.650,1029.304,819.485,1042.438,1726.783,1292.750,1679.809,758.308,605.094,614.287,479.837,772.952,909.188,458.935,1030.032,799.356,681.562,1722.033,435.840,493.267,1176.884,567.411,522.362,868.676,1438.291,1470.590,1450.357,1313.286,958.620,2091.561,1289.708,943.593
