 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90
1302,2379.408,758.955,630.691,430.326,758.723,410.096,697.933,314.553,612.605,180.655,163.532,178.687,311.678,216.661,242.527,141.434,186.444,741.362,522.227,122.909,85.369,191.741,267.347,217.063,163.067,285.982,524.879,116.555,157.771,505.483,463.116,529.000,420.134,728.667,584.977,548.008,722.615,359.850,250.527,474.707,408.085,272.103,259.215,578.400,240.011,176.241,331.479,323.382,242.762,326.177,355.638,890.357,339.157,400.664,425.051,438.882,430.716,764.811,326.192,488.948,178.250,379.190,336.860,77.353,307.721,64.045,46.748,125.917,78.168,246.657,332.026,138.000,641.191,180.386,377.698,225.956,75.153,62.952,118.158,22.128,67.762,121.216,307.380,573.012,281.071,147.948,342.337,572.388,242.000,154.124
1303,2171.350,1035.075,668.584,279.504,879.988,330.949,800.010,299.799,465.011,233.080,171.987,129.572,315.753,330.100,248.014,243.772,211.081,845.254,725.805,151.704,119.590,237.388,217.673,210.103,360.848,199.298,600.299,282.526,184.205,425.038,414.194,768.243,254.016,728.409,491.128,667.943,819.692,297.746,319.688,607.700,437.314,423.123,300.689,366.592,335.994,255.511,324.092,423.591,259.587,201.146,275.638,712.853,280.371,236.437,496.535,424.776,477.468,649.171,385.783,447.156,251.159,233.693,332.783,67.463,343.118,132.612,108.281,106.841,33.084,426.638,370.179,105.455,643.213,483.673,74.406,321.549,46.778,120.411,183.116,95.121,94.629,140.459,477.253,407.145,264.405,207.390,334.272,512.510,207.604,233.894
1304,1955.408,718.261,692.028,352.240,565.801,463.971,664.288,339.805,581.962,269.496,242.019,212.060,267.822,235.222,297.311,157.838,250.437,976.792,585.851,178.935,119.210,252.060,322.187,158.024,163.799,200.561,302.517,158.197,277.958,489.711,466.245,486.036,405.496,864.678,753.526,832.836,755.319,236.560,381.366,501.800,402.451,244.032,294.970,358.592,296.586,168.014,432.202,276.773,62.469,222.184,425.703,415.783,312.064,302.613,295.515,356.375,394.887,552.378,525.350,401.711,335.856,393.518,337.116,81.772,250.162,51.149,207.468,81.885,88.621,454.210,240.393,127.688,503.085,485.248,213.188,337.220,75.840,89.863,179.305,31.879,128.286,187.874,219.000,336.626,370.667,333.558,150.837,664.827,291.906,336.832
1305,2110.204,1045.537,792.410,253.860,657.837,728.934,851.808,310.176,423.643,335.911,210.993,83.837,352.529,196.822,155.081,87.603,230.889,640.346,526.974,149.822,165.149,194.343,211.680,122.635,168.018,207.807,410.609,242.861,212.235,493.156,464.981,470.748,274.134,709.749,595.158,853.598,1034.231,287.047,427.661,582.673,761.405,324.471,463.378,496.138,152.221,219.071,299.412,274.809,288.000,143.253,334.609,518.093,447.714,353.109,186.485,542.224,361.376,374.883,482.567,350.667,250.371,456.234,365.512,175.757,319.926,150.333,151.655,104.949,56.942,316.533,291.778,119.831,361.053,394.485,268.667,315.659,35.528,50.767,209.295,57.603,153.267,153.694,318.899,324.434,418.298,272.545,266.033,671.551,360.774,204.460
1306,2383.280,983.239,647.567,261.814,851.524,454.478,731.971,329.358,483.016,237.761,125.208,88.795,206.299,230.061,128.108,188.978,301.052,669.923,540.325,109.691,121.041,229.756,300.667,190.492,214.652,132.830,534.736,165.540,209.018,481.033,563.168,496.225,329.661,827.111,477.549,752.729,764.978,281.606,316.295,702.620,617.176,381.206,560.407,452.731,316.961,252.681,364.975,393.409,121.420,175.532,406.949,762.411,299.029,260.740,267.354,331.112,490.752,545.081,439.600,560.719,180.705,494.380,312.442,110.037,231.816,74.189,135.719,118.369,83.463,518.162,451.282,180.545,319.511,399.515,257.344,371.582,68.493,112.062,280.368,92.553,49.886,259.054,294.835,339.771,297.786,389.636,385.739,980.041,243.670,154.584
1307,2619.032,778.216,687.275,272.101,1034.958,406.235,723.096,299.346,639.611,208.062,114.935,161.837,238.075,275.256,306.176,138.838,423.059,748.538,554.812,141.000,80.933,181.244,329.827,254.286,198.262,322.251,480.132,300.168,192.211,482.014,350.671,364.342,314.819,628.591,549.226,669.090,867.956,308.238,426.804,612.607,500.837,279.032,343.170,390.831,294.006,234.468,538.454,389.682,181.042,340.949,285.500,569.411,202.050,225.311,390.212,493.921,526.447,605.838,468.083,371.474,296.189,233.555,236.326,140.684,335.404,93.045,120.957,74.452,108.200,442.248,326.214,187.805,263.404,235.505,85.427,376.462,41.917,108.808,145.032,120.993,60.286,120.495,308.949,298.554,221.226,358.779,252.783,707.867,343.123,129.310
1308,2234.643,1098.843,797.298,250.186,963.711,533.081,749.183,287.755,542.768,244.478,189.532,145.277,147.213,222.550,254.730,96.610,153.681,768.585,511.188,119.957,125.446,276.846,339.840,206.810,260.024,214.825,561.885,144.599,201.470,568.445,410.677,466.360,333.110,847.608,445.902,853.738,930.571,280.290,278.366,435.493,590.987,401.335,388.689,413.615,253.077,241.745,378.067,408.773,174.189,184.677,286.696,467.550,211.657,366.941,285.980,280.816,353.560,723.459,484.158,378.200,270.977,365.234,431.969,53.890,291.397,108.572,97.590,97.987,170.689,385.610,303.735,151.481,239.915,607.921,186.302,177.000,52.104,54.363,181.263,158.582,52.124,105.532,251.228,411.566,218.131,240.688,124.228,527.694,365.745,207.920
1309,2331.561,806.433,577.657,186.426,1007.361,529.757,675.740,370.459,567.686,188.398,105.071,248.175,397.563,221.933,220.554,62.603,239.659,775.108,425.409,110.617,71.031,223.582,277.527,226.889,213.951,314.216,472.684,150.584,287.187,491.621,447.387,291.604,215.252,791.965,405.105,600.680,879.473,380.829,232.768,527.707,326.222,274.813,435.763,528.754,283.696,189.716,295.748,392.927,217.545,274.918,393.739,679.240,347.907,483.395,376.737,299.428,532.809,616.649,441.808,551.970,366.894,416.569,246.372,130.971,341.044,48.463,113.245,104.682,81.263,405.181,355.017,179.766,314.202,248.733,271.062,152.044,98.507,119.493,152.326,84.730,41.838,134.838,520.721,476.807,288.655,380.961,150.087,672.582,220.009,234.398
1310,2134.204,790.948,497.781,315.240,754.711,621.949,682.144,316.384,519.330,161.796,213.513,189.602,324.684,269.067,187.122,171.382,277.904,756.969,550.175,92.439,140.103,115.010,278.880,180.397,143.256,237.409,364.276,239.292,77.536,504.166,665.942,615.387,390.512,835.713,558.677,645.500,810.813,294.767,240.714,620.020,384.856,298.748,297.444,396.900,283.564,302.560,411.916,290.209,202.413,336.278,437.000,576.326,271.786,286.538,291.848,365.388,367.248,691.991,334.933,510.793,271.394,305.036,456.271,109.199,231.007,84.338,50.741,111.172,92.311,454.029,192.419,148.532,277.011,519.327,229.854,208.495,32.694,91.356,162.474,32.326,101.124,159.676,260.582,589.807,308.202,310.584,238.630,561.857,211.726,164.062
1311,2161.943,872.866,694.017,197.876,907.337,452.125,663.490,346.654,506.141,248.407,106.792,171.361,322.316,206.072,192.203,220.721,176.711,790.238,525.481,113.635,99.887,204.552,336.920,146.500,227.951,175.953,565.069,121.606,187.687,441.517,358.252,549.658,242.685,665.778,714.594,880.639,834.945,275.155,293.277,527.853,578.412,292.839,272.948,366.346,249.751,227.305,605.076,433.173,245.993,179.253,249.051,608.357,534.500,215.445,300.040,421.743,415.560,750.414,416.717,319.526,265.780,457.891,397.256,160.412,300.949,162.428,237.000,116.803,79.189,409.333,307.103,170.403,335.319,390.178,102.979,270.495,88.847,136.411,202.537,93.908,65.762,172.306,351.684,562.181,425.083,515.429,214.891,708.786,259.736,67.920
